consulta,origen,destino,dist_dijkstra,saltos_bfs,nodos_dijkstra,nodos_bfs,t_dijkstra_ms,t_bfs_ms
Q01,1,500000,516,101,69880,54793,9.2494,1.8206
Q02,100,1000000,2304,484,1106267,1008992,178.97,38.6629
Q03,50000,750000,2702,545,1040092,923563,154.871,31.6894
Q04,200000,800000,612,124,106905,88371,14.9502,3.2516
Q05,300000,100000,3170,666,1174348,1052631,173.562,36.3621
Q06,1,1087562,437,95,48428,47313,5.5766,1.26
Q07,500000,1,516,101,102434,91333,16.4804,2.8376
Q08,250000,600000,1433,300,813824,758734,134.466,28.3284
Q09,10000,900000,844,169,194812,156502,27.4461,5.3393
Q10,400000,150000,859,167,431720,352068,67.6697,12.0432
